Date,Delhi,Mumbai,Chennai,Kolkata
NA,66.57,70.88,70.25,69.11
NA,66.36,70.66,70.02,68.9
NA,66.14,70.43,69.79,68.68
NA,65.93,70.2,69.56,68.63
NA,65.75,70.01,69.37,68.45
NA,65.65,69.91,69.27,68.35
NA,65.46,69.7,69.06,68.16
NA,65.31,69.54,68.9,68.01
NA,65.27,69.5,68.86,67.97
NA,65.18,69.41,68.76,67.88
NA,65.09,69.31,68.67,67.78
NA,65.01,69.23,68.58,67.7
NA,64.96,69.17,68.53,67.65
NA,64.93,69.14,68.49,67.62
NA,64.92,69.13,68.48,67.61
NA,64.88,69.09,68.44,67.57
NA,64.85,69.06,68.41,67.54
NA,64.82,69.02,68.38,67.51
NA,64.69,68.89,68.24,67.38
NA,64.58,68.77,68.12,67.27
NA,64.4,68.58,67.93,67.09
NA,64.14,68.3,67.65,66.83
NA,63.92,68.07,67.41,66.61
NA,63.77,67.91,67.25,66.46
NA,63.66,67.79,67.14,66.35
NA,63.43,67.55,66.89,66.12
NA,63.2,67.3,66.64,65.89
NA,63.01,67.1,66.44,65.7
NA,62.88,66.96,66.3,65.57
NA,62.8,66.88,66.21,65.49
NA,62.73,66.81,66.14,65.42
NA,62.71,66.78,66.12,65.4
NA,62.74,66.82,66.15,65.43
NA,62.81,66.89,66.23,65.5
NA,62.87,66.95,66.29,65.56
NA,62.85,66.93,66.27,65.54
NA,62.89,66.97,66.31,65.58
NA,62.91,67,66.33,65.6
NA,62.96,67.05,66.39,65.65
NA,62.69,66.76,66.1,65.38
NA,62.48,66.54,65.87,65.17
NA,62.25,66.3,65.63,64.94
NA,62.15,66.19,65.52,64.84
NA,62.17,66.21,65.54,64.86
NA,62.12,66.16,65.49,64.81
NA,62.14,66.18,65.51,64.83
NA,62.21,66.25,65.58,64.9
NA,62.29,66.34,65.67,64.98
NA,62.3,66.35,65.68,64.96
NA,62.29,66.34,65.67,64.95
NA,62.44,66.5,65.83,65.1
NA,62.56,66.62,65.96,65.22
NA,62.76,66.84,66.17,65.42
NA,63.02,67.11,66.45,65.68
NA,63.32,67.43,66.77,65.98
NA,63.5,67.62,66.96,66.17
NA,63.62,67.75,67.09,66.29
NA,63.9,68.05,67.39,66.57
NA,64.05,68.21,67.55,66.72
NA,64.11,68.27,67.62,66.78
NA,64.15,68.31,67.66,66.82
NA,64.22,68.39,67.73,66.89
NA,64.14,68.3,67.65,66.81
NA,64.07,68.23,67.57,66.74
NA,64,68.15,67.5,66.67
NA,63.93,68.08,67.42,66.6
NA,63.85,67.99,67.34,66.52
NA,63.75,67.89,67.23,66.42
NA,63.65,67.78,67.12,66.32
NA,63.53,67.65,67,66.2
NA,63.38,67.5,66.84,66.04
NA,63.2,67.3,66.64,65.86
NA,63.01,67.1,66.44,65.67
NA,62.83,66.91,66.25,65.49
NA,62.63,66.7,66.03,65.29
NA,62.25,66.3,65.63,64.91
NA,62.06,66.09,65.42,64.72
NA,61.88,65.9,65.23,64.54
NA,61.74,65.74,65.08,64.4
NA,61.56,65.53,64.89,64.22
NA,61.38,65.32,64.7,64.04
NA,61.18,65.1,64.48,63.84
NA,60.99,64.88,64.28,63.65
NA,60.81,64.67,64.09,63.47
NA,60.66,64.48,63.92,63.32
NA,60.49,64.28,63.74,63.15
